timestamp,scenario,device_id,participants,iterations,converged,final_value,carbon_intensity,fallback_used,satisfaction_person_cli,satisfaction_person_bob,preference_person_cli,preference_person_bob
429.57175619631647,cli_bridge,device_thermostat,"person_cli,person_bob",1,True,20.754716981132074,259.9675570894029,False,0.8396226415094339,0.8746630727762805,23.0,19.0
1036.2577679370968,cli_bridge,device_thermostat,"person_cli,person_bob",1,True,20.8,186.4738361437974,False,0.842857142857143,0.8714285714285714,23.0,19.0
1813.0454545377133,cli_bridge,device_thermostat,"person_cli,person_bob",1,True,20.8,225.84562946027444,False,0.842857142857143,0.8714285714285714,23.0,19.0
1838.603764384568,cli_bridge,device_thermostat,"person_cli,person_bob",1,True,20.8,237.2131427670375,False,0.842857142857143,0.8714285714285714,23.0,19.0
2466.930323887369,cli_bridge,device_thermostat,"person_cli,person_bob",1,True,20.754716981132074,304.38771120952805,False,0.8396226415094339,0.8746630727762805,23.0,19.0
3278.512396211966,cli_bridge,device_thermostat,"person_cli,person_bob",1,True,20.754716981132074,268.08388244626525,False,0.8396226415094339,0.8746630727762805,23.0,19.0
3314.2347793179197,cli_bridge,device_thermostat,"person_cli,person_bob",1,True,20.8,240.44657625622787,False,0.842857142857143,0.8714285714285714,23.0,19.0
3898.2678356957945,cli_bridge,device_thermostat,"person_cli,person_bob",1,True,20.8,171.56940993082475,False,0.842857142857143,0.8714285714285714,23.0,19.0
4686.00871664481,cli_bridge,device_thermostat,"person_cli,person_bob",1,True,20.754716981132074,295.46599608105214,False,0.8396226415094339,0.8746630727762805,23.0,19.0
4747.623289905312,cli_bridge,device_thermostat,"person_cli,person_bob",1,True,20.8,210.52634223997225,False,0.842857142857143,0.8714285714285714,23.0,19.0
5373.214144605118,cli_bridge,device_thermostat,"person_cli,person_bob",1,True,20.754716981132074,272.32913327090034,False,0.8396226415094339,0.8746630727762805,23.0,19.0
6197.007275368728,cli_bridge,device_thermostat,"person_cli,person_bob",1,True,20.8,197.32174204570143,False,0.842857142857143,0.8714285714285714,23.0,19.0
6780.172909347151,cli_bridge,device_thermostat,"person_cli,person_bob",1,True,20.8,255.0227043469676,False,0.842857142857143,0.8714285714285714,23.0,19.0
7552.632680368007,cli_bridge,device_thermostat,"person_cli,person_bob",1,True,20.754716981132074,296.29156742801973,False,0.8396226415094339,0.8746630727762805,23.0,19.0
7612.518871470391,cli_bridge,device_thermostat,"person_cli,person_bob",1,True,20.8,210.970824099243,False,0.842857142857143,0.8714285714285714,23.0,19.0
8217.976164400288,cli_bridge,device_thermostat,"person_cli,person_bob",1,True,20.8,190.47988655698492,False,0.842857142857143,0.8714285714285714,23.0,19.0
9011.19589260259,cli_bridge,device_thermostat,"person_cli,person_bob",1,True,20.754716981132074,298.13374615575157,False,0.8396226415094339,0.8746630727762805,23.0,19.0
9072.820138956811,cli_bridge,device_thermostat,"person_cli,person_bob",1,True,20.8,235.7477371743708,False,0.842857142857143,0.8714285714285714,23.0,19.0
9668.629625925223,cli_bridge,device_thermostat,"person_cli,person_bob",1,True,20.754716981132074,262.18650439133967,False,0.8396226415094339,0.8746630727762805,23.0,19.0
10443.283164201164,cli_bridge,device_thermostat,"person_cli,person_bob",1,True,20.8,227.28203194169825,False,0.842857142857143,0.8714285714285714,23.0,19.0
10497.64316245361,cli_bridge,device_thermostat,"person_cli,person_bob",1,True,20.754716981132074,299.57967990175564,False,0.8396226415094339,0.8746630727762805,23.0,19.0
11107.741936283164,cli_bridge,device_thermostat,"person_cli,person_bob",1,True,20.8,240.2132631907169,False,0.842857142857143,0.8714285714285714,23.0,19.0
11893.520616882364,cli_bridge,device_thermostat,"person_cli,person_bob",1,True,20.754716981132074,314.87897879465197,False,0.8396226415094339,0.8746630727762805,23.0,19.0
11934.039954230508,cli_bridge,device_thermostat,"person_cli,person_bob",1,True,20.8,244.53689728356065,False,0.842857142857143,0.8714285714285714,23.0,19.0
12545.999354856544,cli_bridge,device_thermostat,"person_cli,person_bob",1,True,20.754716981132074,275.2693590365692,False,0.8396226415094339,0.8746630727762805,23.0,19.0
13318.442769497084,cli_bridge,device_thermostat,"person_cli,person_bob",1,True,20.754716981132074,333.21185160799763,False,0.8396226415094339,0.8746630727762805,23.0,19.0
13353.11702513204,cli_bridge,device_thermostat,"person_cli,person_bob",1,True,20.754716981132074,247.07255568044854,False,0.8396226415094339,0.8746630727762805,23.0,19.0
13991.73989061039,cli_bridge,device_thermostat,"person_cli,person_bob",1,True,20.754716981132074,290.9711263865639,False,0.8396226415094339,0.8746630727762805,23.0,19.0
14782.223289763939,cli_bridge,device_thermostat,"person_cli,person_bob",1,True,20.754716981132074,291.3374075568943,False,0.8396226415094339,0.8746630727762805,23.0,19.0
14832.932514535645,cli_bridge,device_thermostat,"person_cli,person_bob",1,True,20.8,207.17571235109054,False,0.842857142857143,0.8714285714285714,23.0,19.0
15424.699640532486,cli_bridge,device_thermostat,"person_cli,person_bob",1,True,20.8,250.8583645702272,False,0.842857142857143,0.8714285714285714,23.0,19.0
16210.130417280916,cli_bridge,device_thermostat,"person_cli,person_bob",1,True,20.754716981132074,266.7640784610412,False,0.8396226415094339,0.8746630727762805,23.0,19.0
16284.375555203,cli_bridge,device_thermostat,"person_cli,person_bob",1,True,20.8,226.5312032759736,False,0.842857142857143,0.8714285714285714,23.0,19.0
16836.595488838215,cli_bridge,device_thermostat,"person_cli,person_bob",1,True,20.8,224.84658199056878,False,0.842857142857143,0.8714285714285714,23.0,19.0
17658.552214455485,cli_bridge,device_thermostat,"person_cli,person_bob",1,True,20.754716981132074,285.47648316379224,False,0.8396226415094339,0.8746630727762805,23.0,19.0
17717.087873944634,cli_bridge,device_thermostat,"person_cli,person_bob",1,True,20.754716981132074,251.00561156831196,False,0.8396226415094339,0.8746630727762805,23.0,19.0
18318.69060989409,cli_bridge,device_thermostat,"person_cli,person_bob",1,True,20.8,246.66932198476408,False,0.842857142857143,0.8714285714285714,23.0,19.0
19061.158391343415,cli_bridge,device_thermostat,"person_cli,person_bob",1,True,20.754716981132074,322.9408549147758,False,0.8396226415094339,0.8746630727762805,23.0,19.0
19148.936295454834,cli_bridge,device_thermostat,"person_cli,person_bob",1,True,20.754716981132074,294.04067450288187,False,0.8396226415094339,0.8746630727762805,23.0,19.0
